batch_size,input_channels,output_channels,input_height,input_width,kernel_height,kernel_width,cpu_time,gpu_basic_time,gpu_optimized_time,gpu_tiled_time,speedup_basic,speedup_optimized,speedup_tiled
1,3,16,32,32,3,3,86.201,24.581,0.155,0.118,3.50681,556.135,730.517
4,16,32,64,64,3,3,90.31,7.123,3.999,3.896,12.6786,22.5831,23.1802
8,32,64,128,128,3,3,968.974,29.771,63.833,52.203,32.5476,15.1798,18.5617
16,64,128,256,256,3,3,35448.5,643.921,188.296,186.176,55.051,188.26,190.403
4,128,256,512,512,3,3,156388,2182.72,386.716,416.405,71.6484,404.401,375.568
2,256,512,512,512,3,3,941411,3815.09,373.021,387.145,246.759,2523.75,2431.67
8,64,128,224,224,5,5,20059.8,437.306,67.816,67.977,45.8713,295.798,295.097
4,128,256,224,224,7,7,22614.4,517.969,30.686,30.325,43.6598,736.962,745.736
32,64,64,56,56,3,3,1308.61,28.19,8.744,9.18,46.4209,149.658,142.55
32,128,128,28,28,3,3,1187.8,23.036,3.371,3.381,51.5629,352.359,351.317
32,256,256,14,14,3,3,1131.84,23.166,2.06,2.069,48.8579,549.438,547.048
32,512,512,7,7,3,3,993.886,32.461,1.87,1.907,30.6178,531.49,521.178
